Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","97.12","X","Figure from international organizations"
"FBS","Food Balances (2010-)","044","Bahamas","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","389.48","X","Figure from international organizations"
"FBS","Food Balances (2010-)","052","Barbados","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","287.02","X","Figure from international organizations"
"FBS","Food Balances (2010-)","192","Cuba","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","11333.48","X","Figure from international organizations"
"FBS","Food Balances (2010-)","212","Dominica","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","71.81","X","Figure from international organizations"
"FBS","Food Balances (2010-)","214","Dominican Republic","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","10738.96","X","Figure from international organizations"
"FBS","Food Balances (2010-)","308","Grenada","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","112","X","Figure from international organizations"
"FBS","Food Balances (2010-)","332","Haiti","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","11263.08","X","Figure from international organizations"
"FBS","Food Balances (2010-)","388","Jamaica","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","2948.28","X","Figure from international organizations"
"FBS","Food Balances (2010-)","530","Netherlands Antilles (former)","511","Total Population - Both sexes","S2501","Population","2019","2019","","","",""
"FBS","Food Balances (2010-)","659","Saint Kitts and Nevis","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","52.82","X","Figure from international organizations"
"FBS","Food Balances (2010-)","662","Saint Lucia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","182.79","X","Figure from international organizations"
"FBS","Food Balances (2010-)","670","Saint Vincent and the Grenadines","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","110.59","X","Figure from international organizations"
"FBS","Food Balances (2010-)","780","Trinidad and Tobago","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","1394.97","X","Figure from international organizations"
