Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","108","Burundi","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","11530.58","X","Figure from international organizations"
"FBS","Food Balances (2010-)","174","Comoros","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","850.89","X","Figure from international organizations"
"FBS","Food Balances (2010-)","262","Djibouti","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","973.56","X","Figure from international organizations"
"FBS","Food Balances (2010-)","231","Ethiopia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","112078.73","X","Figure from international organizations"
"FBS","Food Balances (2010-)","230","Ethiopia PDR","511","Total Population - Both sexes","S2501","Population","2019","2019","","","",""
"FBS","Food Balances (2010-)","404","Kenya","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","52573.97","X","Figure from international organizations"
"FBS","Food Balances (2010-)","450","Madagascar","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","26969.31","X","Figure from international organizations"
"FBS","Food Balances (2010-)","454","Malawi","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","18628.75","X","Figure from international organizations"
"FBS","Food Balances (2010-)","480","Mauritius","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","1269.67","X","Figure from international organizations"
"FBS","Food Balances (2010-)","508","Mozambique","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","30366.04","X","Figure from international organizations"
"FBS","Food Balances (2010-)","646","Rwanda","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","12626.95","X","Figure from international organizations"
"FBS","Food Balances (2010-)","690","Seychelles","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","97.74","X","Figure from international organizations"
"FBS","Food Balances (2010-)","728","South Sudan","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","11062.11","X","Figure from international organizations"
"FBS","Food Balances (2010-)","800","Uganda","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","44269.59","X","Figure from international organizations"
"FBS","Food Balances (2010-)","834","United Republic of Tanzania","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","58005.46","X","Figure from international organizations"
"FBS","Food Balances (2010-)","894","Zambia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","17861.03","X","Figure from international organizations"
"FBS","Food Balances (2010-)","716","Zimbabwe","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","14645.47","X","Figure from international organizations"
