Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","112","Belarus","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","9452.41","X","Figure from international organizations"
"FBS","Food Balances (2010-)","100","Bulgaria","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","7000.12","X","Figure from international organizations"
"FBS","Food Balances (2010-)","203","Czechia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","10689.21","X","Figure from international organizations"
"FBS","Food Balances (2010-)","200","Czechoslovakia","511","Total Population - Both sexes","S2501","Population","2019","2019","","","",""
"FBS","Food Balances (2010-)","348","Hungary","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","9684.68","X","Figure from international organizations"
"FBS","Food Balances (2010-)","616","Poland","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","37887.77","X","Figure from international organizations"
"FBS","Food Balances (2010-)","498","Republic of Moldova","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","4043.26","X","Figure from international organizations"
"FBS","Food Balances (2010-)","642","Romania","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","19364.56","X","Figure from international organizations"
"FBS","Food Balances (2010-)","643","Russian Federation","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","145872.26","X","Figure from international organizations"
"FBS","Food Balances (2010-)","703","Slovakia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","5457.01","X","Figure from international organizations"
"FBS","Food Balances (2010-)","804","Ukraine","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","43993.64","X","Figure from international organizations"
"FBS","Food Balances (2010-)","810","USSR","511","Total Population - Both sexes","S2501","Population","2019","2019","","","",""
