Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","208","Denmark","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","5771.88","X","Figure from international organizations"
"FBS","Food Balances (2010-)","233","Estonia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","1325.65","X","Figure from international organizations"
"FBS","Food Balances (2010-)","246","Finland","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","5532.16","X","Figure from international organizations"
"FBS","Food Balances (2010-)","352","Iceland","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","339.03","X","Figure from international organizations"
"FBS","Food Balances (2010-)","372","Ireland","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","4882.49","X","Figure from international organizations"
"FBS","Food Balances (2010-)","428","Latvia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","1906.74","X","Figure from international organizations"
"FBS","Food Balances (2010-)","440","Lithuania","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","2759.63","X","Figure from international organizations"
"FBS","Food Balances (2010-)","578","Norway","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","5378.86","X","Figure from international organizations"
"FBS","Food Balances (2010-)","752","Sweden","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","10036.38","X","Figure from international organizations"
"FBS","Food Balances (2010-)","826","United Kingdom of Great Britain and Northern Ireland","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","67530.17","X","Figure from international organizations"
