Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","008","Albania","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","2880.92","X","Figure from international organizations"
"FBS","Food Balances (2010-)","070","Bosnia and Herzegovina","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","3301","X","Figure from international organizations"
"FBS","Food Balances (2010-)","191","Croatia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","4130.3","X","Figure from international organizations"
"FBS","Food Balances (2010-)","300","Greece","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","10473.45","X","Figure from international organizations"
"FBS","Food Balances (2010-)","380","Italy","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","60550.07","X","Figure from international organizations"
"FBS","Food Balances (2010-)","470","Malta","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","440.37","X","Figure from international organizations"
"FBS","Food Balances (2010-)","499","Montenegro","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","627.99","X","Figure from international organizations"
"FBS","Food Balances (2010-)","807","North Macedonia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","2083.46","X","Figure from international organizations"
"FBS","Food Balances (2010-)","620","Portugal","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","10226.19","X","Figure from international organizations"
"FBS","Food Balances (2010-)","688","Serbia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","8772.24","X","Figure from international organizations"
"FBS","Food Balances (2010-)","891","Serbia and Montenegro","511","Total Population - Both sexes","S2501","Population","2019","2019","","","",""
"FBS","Food Balances (2010-)","705","Slovenia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","2078.65","X","Figure from international organizations"
"FBS","Food Balances (2010-)","724","Spain","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","46736.78","X","Figure from international organizations"
"FBS","Food Balances (2010-)","890","Yugoslav SFR","511","Total Population - Both sexes","S2501","Population","2019","2019","","","",""
