Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","204","Benin","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","11801.15","X","Figure from international organizations"
"FBS","Food Balances (2010-)","854","Burkina Faso","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","20321.38","X","Figure from international organizations"
"FBS","Food Balances (2010-)","132","Cabo Verde","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","549.93","X","Figure from international organizations"
"FBS","Food Balances (2010-)","384","Côte d'Ivoire","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","25716.54","X","Figure from international organizations"
"FBS","Food Balances (2010-)","270","Gambia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","2347.71","X","Figure from international organizations"
"FBS","Food Balances (2010-)","288","Ghana","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","30417.86","X","Figure from international organizations"
"FBS","Food Balances (2010-)","324","Guinea","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","12771.25","X","Figure from international organizations"
"FBS","Food Balances (2010-)","624","Guinea-Bissau","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","1920.92","X","Figure from international organizations"
"FBS","Food Balances (2010-)","430","Liberia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","4937.37","X","Figure from international organizations"
"FBS","Food Balances (2010-)","466","Mali","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","19658.03","X","Figure from international organizations"
"FBS","Food Balances (2010-)","478","Mauritania","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","4525.7","X","Figure from international organizations"
"FBS","Food Balances (2010-)","562","Niger","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","23310.72","X","Figure from international organizations"
"FBS","Food Balances (2010-)","566","Nigeria","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","200963.6","X","Figure from international organizations"
"FBS","Food Balances (2010-)","686","Senegal","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","16296.36","X","Figure from international organizations"
"FBS","Food Balances (2010-)","694","Sierra Leone","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","7813.22","X","Figure from international organizations"
"FBS","Food Balances (2010-)","768","Togo","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","8082.37","X","Figure from international organizations"
